"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"1990-08";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.27";"A";"90.27";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.28";"A";"90.27";"A";"90.19";"A";"90.18";"A";"90.18";"A";"90.18";"A";"90.18";"A";"90.19";"A";"90.18";"A";"90.18";"A";"90.17";"A";"90.17";"A";"90.17";"A";"90.18";"A"
"1990-09";"88.6";"A";"88.6";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.61";"A";"88.6";"A";"88.6";"A";"88.61";"A";"88.6";"A";"88.61";"A";"88.6";"A";"88.6";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.51";"A";"88.5";"A";"88.51";"A";"88.5";"A";"88.49";"A";"88.49";"A";"88.51";"A"
"1990-10";"89.88";"A";"89.88";"A";"89.89";"A";"89.89";"A";"89.89";"A";"89.88";"A";"89.88";"A";"89.88";"A";"89.87";"A";"89.88";"A";"89.88";"A";"89.88";"A";"89.88";"A";"89.88";"A";"89.78";"A";"89.78";"A";"89.78";"A";"89.78";"A";"89.78";"A";"89.79";"A";"89.78";"A";"89.78";"A";"89.77";"A";"89.77";"A";"89.77";"A";"89.78";"A"
"1990-11";"89.14";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.13";"A";"89.13";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.14";"A";"89.13";"A";"89.04";"A";"89.04";"A";"89.04";"A";"89.04";"A";"89.04";"A";"89.05";"A";"89.04";"A";"89.04";"A";"89.03";"A";"89.03";"A";"89.03";"A";"89.04";"A"
"1990-12";"91.38";"A";"91.38";"A";"91.39";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.37";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.38";"A";"91.28";"A";"91.28";"A";"91.28";"A";"91.28";"A";"91.28";"A";"91.29";"A";"91.27";"A";"91.28";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.28";"A"
"1991-01";"94.16";"A";"94.16";"A";"94.17";"A";"94.17";"A";"94.17";"A";"94.17";"A";"94.17";"A";"94.16";"A";"94.16";"A";"94.17";"A";"94.17";"A";"94.17";"A";"94.16";"A";"94.16";"A";"94.07";"A";"94.07";"A";"94.07";"A";"94.07";"A";"94.06";"A";"94.07";"A";"94.06";"A";"94.06";"A";"94.06";"A";"94.05";"A";"94.05";"A";"94.07";"A"
"1991-02";"94.32";"A";"94.32";"A";"94.33";"A";"94.32";"A";"94.32";"A";"94.32";"A";"94.32";"A";"94.31";"A";"94.31";"A";"94.32";"A";"94.32";"A";"94.32";"A";"94.32";"A";"94.32";"A";"94.23";"A";"94.22";"A";"94.23";"A";"94.22";"A";"94.22";"A";"94.23";"A";"94.22";"A";"94.22";"A";"94.21";"A";"94.21";"A";"94.21";"A";"94.23";"A"
"1991-03";"93.41";"A";"93.41";"A";"93.42";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.4";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.41";"A";"93.32";"A";"93.32";"A";"93.32";"A";"93.32";"A";"93.32";"A";"93.32";"A";"93.31";"A";"93.32";"A";"93.31";"A";"93.3";"A";"93.3";"A";"93.32";"A"
"1991-04";"93.8";"A";"93.8";"A";"93.81";"A";"93.81";"A";"93.81";"A";"93.81";"A";"93.81";"A";"93.8";"A";"93.8";"A";"93.81";"A";"93.81";"A";"93.81";"A";"93.81";"A";"93.8";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.69";"A";"93.69";"A";"93.7";"A";"93.69";"A";"93.69";"A";"93.69";"A";"93.68";"A";"93.68";"A";"93.7";"A"
"1991-05";"92.15";"A";"92.15";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.15";"A";"92.15";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.15";"A";"92.06";"A";"92.06";"A";"92.06";"A";"92.06";"A";"92.06";"A";"92.06";"A";"92.05";"A";"92.06";"A";"92.05";"A";"92.04";"A";"92.05";"A";"92.06";"A"
"1991-06";"91.35";"A";"91.35";"A";"91.36";"A";"91.36";"A";"91.36";"A";"91.36";"A";"91.35";"A";"91.35";"A";"91.35";"A";"91.35";"A";"91.35";"A";"91.36";"A";"91.35";"A";"91.35";"A";"91.26";"A";"91.25";"A";"91.26";"A";"91.25";"A";"91.25";"A";"91.26";"A";"91.25";"A";"91.25";"A";"91.24";"A";"91.24";"A";"91.24";"A";"91.26";"A"
"1991-07";"91.96";"A";"91.96";"A";"91.97";"A";"91.97";"A";"91.97";"A";"91.97";"A";"91.96";"A";"91.96";"A";"91.95";"A";"91.96";"A";"91.96";"A";"91.96";"A";"91.96";"A";"91.96";"A";"91.86";"A";"91.86";"A";"91.86";"A";"91.86";"A";"91.86";"A";"91.86";"A";"91.85";"A";"91.86";"A";"91.85";"A";"91.84";"A";"91.85";"A";"91.86";"A"
"1991-08";"92.26";"A";"92.26";"A";"92.27";"A";"92.27";"A";"92.27";"A";"92.27";"A";"92.27";"A";"92.26";"A";"92.26";"A";"92.27";"A";"92.27";"A";"92.27";"A";"92.27";"A";"92.26";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.16";"A";"92.15";"A";"92.16";"A";"92.15";"A";"92.14";"A";"92.15";"A";"92.16";"A"
"1991-09";"91.5";"A";"91.5";"A";"91.51";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.49";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.5";"A";"91.39";"A";"91.39";"A";"91.39";"A";"91.39";"A";"91.39";"A";"91.39";"A";"91.38";"A";"91.39";"A";"91.38";"A";"91.37";"A";"91.38";"A";"91.39";"A"
"1991-10";"91.79";"A";"91.79";"A";"91.8";"A";"91.8";"A";"91.8";"A";"91.79";"A";"91.79";"A";"91.79";"A";"91.78";"A";"91.79";"A";"91.79";"A";"91.79";"A";"91.79";"A";"91.79";"A";"91.69";"A";"91.69";"A";"91.69";"A";"91.69";"A";"91.69";"A";"91.69";"A";"91.68";"A";"91.69";"A";"91.68";"A";"91.67";"A";"91.68";"A";"91.69";"A"
"1991-11";"92.35";"A";"92.35";"A";"92.36";"A";"92.36";"A";"92.36";"A";"92.36";"A";"92.35";"A";"92.35";"A";"92.35";"A";"92.36";"A";"92.35";"A";"92.36";"A";"92.35";"A";"92.35";"A";"92.25";"A";"92.25";"A";"92.25";"A";"92.25";"A";"92.25";"A";"92.25";"A";"92.24";"A";"92.25";"A";"92.24";"A";"92.23";"A";"92.24";"A";"92.25";"A"
"1991-12";"91.56";"A";"91.56";"A";"91.57";"A";"91.57";"A";"91.57";"A";"91.57";"A";"91.57";"A";"91.56";"A";"91.56";"A";"91.57";"A";"91.57";"A";"91.57";"A";"91.56";"A";"91.56";"A";"91.47";"A";"91.46";"A";"91.47";"A";"91.46";"A";"91.46";"A";"91.47";"A";"91.46";"A";"91.46";"A";"91.45";"A";"91.45";"A";"91.45";"A";"91.47";"A"
"1992-01";"92.29";"A";"92.29";"A";"92.3";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.28";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.29";"A";"92.19";"A";"92.18";"A";"92.18";"A";"92.18";"A";"92.18";"A";"92.19";"A";"92.18";"A";"92.18";"A";"92.17";"A";"92.17";"A";"92.17";"A";"92.18";"A"
"1992-02";"92.69";"A";"92.69";"A";"92.7";"A";"92.69";"A";"92.7";"A";"92.69";"A";"92.69";"A";"92.69";"A";"92.68";"A";"92.69";"A";"92.69";"A";"92.69";"A";"92.69";"A";"92.69";"A";"92.58";"A";"92.58";"A";"92.58";"A";"92.58";"A";"92.57";"A";"92.58";"A";"92.57";"A";"92.57";"A";"92.57";"A";"92.56";"A";"92.56";"A";"92.58";"A"
"1992-03";"92.95";"A";"92.95";"A";"92.96";"A";"92.96";"A";"92.96";"A";"92.96";"A";"92.96";"A";"92.95";"A";"92.95";"A";"92.96";"A";"92.96";"A";"92.96";"A";"92.95";"A";"92.95";"A";"92.84";"A";"92.84";"A";"92.84";"A";"92.84";"A";"92.84";"A";"92.85";"A";"92.83";"A";"92.84";"A";"92.83";"A";"92.83";"A";"92.83";"A";"92.84";"A"
"1992-04";"93.93";"A";"93.93";"A";"93.94";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.92";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.93";"A";"93.82";"A";"93.81";"A";"93.82";"A";"93.81";"A";"93.81";"A";"93.82";"A";"93.81";"A";"93.81";"A";"93.8";"A";"93.8";"A";"93.8";"A";"93.82";"A"
"1992-05";"92.89";"A";"92.89";"A";"92.9";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.88";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.89";"A";"92.78";"A";"92.78";"A";"92.78";"A";"92.77";"A";"92.77";"A";"92.78";"A";"92.77";"A";"92.77";"A";"92.77";"A";"92.76";"A";"92.76";"A";"92.78";"A"
