"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"1993-04";"89.98";"A";"89.98";"A";"89.99";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.97";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.98";"A";"89.9";"A";"89.9";"A";"89.9";"A";"89.89";"A";"89.89";"A";"89.9";"A";"89.89";"A";"89.89";"A";"89.89";"A";"89.88";"A";"89.88";"A";"89.9";"A"
"1993-05";"88.01";"A";"88.01";"A";"88.02";"A";"88.01";"A";"88.01";"A";"88.01";"A";"88.01";"A";"88.01";"A";"88.0";"A";"88.01";"A";"88.01";"A";"88.01";"A";"88.01";"A";"88.01";"A";"87.93";"A";"87.93";"A";"87.93";"A";"87.93";"A";"87.93";"A";"87.93";"A";"87.92";"A";"87.93";"A";"87.92";"A";"87.91";"A";"87.92";"A";"87.93";"A"
"1993-06";"89.74";"A";"89.74";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.74";"A";"89.74";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.74";"A";"89.74";"A";"89.68";"A";"89.68";"A";"89.68";"A";"89.68";"A";"89.68";"A";"89.68";"A";"89.67";"A";"89.67";"A";"89.67";"A";"89.66";"A";"89.66";"A";"89.68";"A"
"1993-07";"89.93";"A";"89.93";"A";"89.94";"A";"89.93";"A";"89.93";"A";"89.93";"A";"89.93";"A";"89.92";"A";"89.92";"A";"89.93";"A";"89.93";"A";"89.93";"A";"89.93";"A";"89.93";"A";"89.85";"A";"89.84";"A";"89.85";"A";"89.84";"A";"89.84";"A";"89.85";"A";"89.84";"A";"89.84";"A";"89.84";"A";"89.83";"A";"89.83";"A";"89.85";"A"
"1993-08";"90.63";"A";"90.63";"A";"90.64";"A";"90.64";"A";"90.64";"A";"90.64";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.63";"A";"90.55";"A";"90.55";"A";"90.55";"A";"90.55";"A";"90.55";"A";"90.55";"A";"90.54";"A";"90.54";"A";"90.54";"A";"90.53";"A";"90.53";"A";"90.55";"A"
"1993-09";"92.97";"A";"92.97";"A";"92.98";"A";"92.97";"A";"92.97";"A";"92.97";"A";"92.97";"A";"92.96";"A";"92.96";"A";"92.97";"A";"92.97";"A";"92.97";"A";"92.97";"A";"92.97";"A";"92.87";"A";"92.87";"A";"92.87";"A";"92.87";"A";"92.86";"A";"92.87";"A";"92.86";"A";"92.86";"A";"92.86";"A";"92.85";"A";"92.85";"A";"92.87";"A"
"1993-10";"90.89";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.89";"A";"90.89";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.89";"A";"90.81";"A";"90.81";"A";"90.81";"A";"90.81";"A";"90.8";"A";"90.81";"A";"90.8";"A";"90.8";"A";"90.8";"A";"90.79";"A";"90.79";"A";"90.81";"A"
"1993-11";"90.32";"A";"90.32";"A";"90.33";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.31";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.32";"A";"90.24";"A";"90.23";"A";"90.24";"A";"90.23";"A";"90.23";"A";"90.24";"A";"90.23";"A";"90.23";"A";"90.22";"A";"90.22";"A";"90.22";"A";"90.24";"A"
"1993-12";"88.7";"A";"88.7";"A";"88.71";"A";"88.71";"A";"88.71";"A";"88.71";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.7";"A";"88.62";"A";"88.62";"A";"88.62";"A";"88.62";"A";"88.62";"A";"88.62";"A";"88.61";"A";"88.62";"A";"88.61";"A";"88.6";"A";"88.6";"A";"88.62";"A"
"1994-01";"89.79";"A";"89.79";"A";"89.8";"A";"89.79";"A";"89.8";"A";"89.8";"A";"89.79";"A";"89.79";"A";"89.78";"A";"89.79";"A";"89.79";"A";"89.79";"A";"89.79";"A";"89.79";"A";"89.71";"A";"89.71";"A";"89.71";"A";"89.7";"A";"89.7";"A";"89.71";"A";"89.7";"A";"89.7";"A";"89.7";"A";"89.69";"A";"89.69";"A";"89.71";"A"
"1994-02";"89.16";"A";"89.16";"A";"89.17";"A";"89.16";"A";"89.16";"A";"89.16";"A";"89.16";"A";"89.15";"A";"89.15";"A";"89.16";"A";"89.16";"A";"89.16";"A";"89.16";"A";"89.15";"A";"89.08";"A";"89.08";"A";"89.08";"A";"89.08";"A";"89.08";"A";"89.08";"A";"89.07";"A";"89.08";"A";"89.07";"A";"89.06";"A";"89.07";"A";"89.08";"A"
"1994-03";"88.91";"A";"88.91";"A";"88.92";"A";"88.92";"A";"88.92";"A";"88.92";"A";"88.91";"A";"88.91";"A";"88.9";"A";"88.91";"A";"88.91";"A";"88.91";"A";"88.91";"A";"88.91";"A";"88.83";"A";"88.83";"A";"88.83";"A";"88.83";"A";"88.83";"A";"88.83";"A";"88.82";"A";"88.83";"A";"88.82";"A";"88.81";"A";"88.82";"A";"88.83";"A"
"1994-04";"88.71";"A";"88.71";"A";"88.72";"A";"88.72";"A";"88.72";"A";"88.72";"A";"88.72";"A";"88.71";"A";"88.71";"A";"88.72";"A";"88.72";"A";"88.72";"A";"88.71";"A";"88.71";"A";"88.63";"A";"88.63";"A";"88.63";"A";"88.63";"A";"88.63";"A";"88.63";"A";"88.62";"A";"88.63";"A";"88.62";"A";"88.61";"A";"88.62";"A";"88.63";"A"
"1994-05";"89.2";"A";"89.21";"A";"89.21";"A";"89.21";"A";"89.21";"A";"89.21";"A";"89.21";"A";"89.2";"A";"89.2";"A";"89.21";"A";"89.21";"A";"89.21";"A";"89.2";"A";"89.2";"A";"89.12";"A";"89.12";"A";"89.12";"A";"89.12";"A";"89.12";"A";"89.12";"A";"89.11";"A";"89.12";"A";"89.11";"A";"89.11";"A";"89.11";"A";"89.12";"A"
"1994-06";"89.83";"A";"89.83";"A";"89.84";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.82";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.83";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.75";"A";"89.74";"A";"89.74";"A";"89.74";"A";"89.73";"A";"89.73";"A";"89.75";"A"
"1994-07";"91.88";"A";"91.88";"A";"91.89";"A";"91.89";"A";"91.89";"A";"91.89";"A";"91.88";"A";"91.88";"A";"91.87";"A";"91.88";"A";"91.88";"A";"91.88";"A";"91.88";"A";"91.88";"A";"91.8";"A";"91.8";"A";"91.8";"A";"91.8";"A";"91.8";"A";"91.8";"A";"91.79";"A";"91.8";"A";"91.79";"A";"91.78";"A";"91.78";"A";"91.8";"A"
"1994-08";"97.56";"A";"97.56";"A";"97.57";"A";"97.57";"A";"97.57";"A";"97.57";"A";"97.57";"A";"97.56";"A";"97.56";"A";"97.57";"A";"97.57";"A";"97.57";"A";"97.57";"A";"97.56";"A";"97.46";"A";"97.46";"A";"97.46";"A";"97.46";"A";"97.46";"A";"97.46";"A";"97.45";"A";"97.46";"A";"97.45";"A";"97.44";"A";"97.45";"A";"97.46";"A"
"1994-09";"90.87";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.86";"A";"90.86";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.87";"A";"90.86";"A";"90.77";"A";"90.77";"A";"90.77";"A";"90.76";"A";"90.76";"A";"90.77";"A";"90.76";"A";"90.76";"A";"90.76";"A";"90.75";"A";"90.75";"A";"90.77";"A"
"1994-10";"90.91";"A";"90.91";"A";"90.92";"A";"90.92";"A";"90.92";"A";"90.92";"A";"90.92";"A";"90.91";"A";"90.91";"A";"90.91";"A";"90.91";"A";"90.91";"A";"90.91";"A";"90.91";"A";"90.82";"A";"90.81";"A";"90.82";"A";"90.81";"A";"90.81";"A";"90.82";"A";"90.81";"A";"90.81";"A";"90.81";"A";"90.8";"A";"90.8";"A";"90.82";"A"
"1994-11";"92.53";"A";"92.53";"A";"92.54";"A";"92.53";"A";"92.53";"A";"92.53";"A";"92.53";"A";"92.52";"A";"92.52";"A";"92.53";"A";"92.53";"A";"92.53";"A";"92.53";"A";"92.53";"A";"92.43";"A";"92.43";"A";"92.43";"A";"92.43";"A";"92.43";"A";"92.44";"A";"92.42";"A";"92.43";"A";"92.42";"A";"92.42";"A";"92.42";"A";"92.43";"A"
"1994-12";"92.32";"A";"92.32";"A";"92.33";"A";"92.33";"A";"92.33";"A";"92.33";"A";"92.32";"A";"92.32";"A";"92.31";"A";"92.32";"A";"92.32";"A";"92.32";"A";"92.32";"A";"92.32";"A";"92.22";"A";"92.22";"A";"92.22";"A";"92.22";"A";"92.21";"A";"92.22";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.2";"A";"92.2";"A";"92.22";"A"
"1995-01";"92.29";"A";"92.29";"A";"92.3";"A";"92.3";"A";"92.3";"A";"92.3";"A";"92.3";"A";"92.29";"A";"92.29";"A";"92.3";"A";"92.29";"A";"92.3";"A";"92.29";"A";"92.29";"A";"92.2";"A";"92.2";"A";"92.2";"A";"92.2";"A";"92.19";"A";"92.2";"A";"92.19";"A";"92.19";"A";"92.19";"A";"92.18";"A";"92.18";"A";"92.2";"A"
"1995-02";"92.2";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.2";"A";"92.2";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.21";"A";"92.2";"A";"92.11";"A";"92.11";"A";"92.11";"A";"92.11";"A";"92.11";"A";"92.11";"A";"92.1";"A";"92.1";"A";"92.1";"A";"92.09";"A";"92.09";"A";"92.11";"A"
"1995-03";"91.14";"A";"91.14";"A";"91.15";"A";"91.15";"A";"91.15";"A";"91.15";"A";"91.14";"A";"91.14";"A";"91.13";"A";"91.14";"A";"91.14";"A";"91.14";"A";"91.14";"A";"91.14";"A";"91.04";"A";"91.04";"A";"91.04";"A";"91.04";"A";"91.04";"A";"91.05";"A";"91.04";"A";"91.04";"A";"91.03";"A";"91.03";"A";"91.03";"A";"91.04";"A"
"1995-04";"92.45";"A";"92.45";"A";"92.46";"A";"92.45";"A";"92.45";"A";"92.45";"A";"92.45";"A";"92.44";"A";"92.44";"A";"92.45";"A";"92.45";"A";"92.45";"A";"92.45";"A";"92.44";"A";"92.35";"A";"92.35";"A";"92.35";"A";"92.35";"A";"92.34";"A";"92.35";"A";"92.34";"A";"92.34";"A";"92.34";"A";"92.33";"A";"92.33";"A";"92.35";"A"
"1995-05";"93.7";"A";"93.7";"A";"93.71";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.69";"A";"93.69";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.7";"A";"93.6";"A";"93.59";"A";"93.6";"A";"93.59";"A";"93.59";"A";"93.6";"A";"93.59";"A";"93.59";"A";"93.59";"A";"93.58";"A";"93.58";"A";"93.6";"A"
"1995-06";"94.69";"A";"94.69";"A";"94.7";"A";"94.7";"A";"94.7";"A";"94.7";"A";"94.7";"A";"94.69";"A";"94.69";"A";"94.69";"A";"94.69";"A";"94.69";"A";"94.69";"A";"94.69";"A";"94.59";"A";"94.59";"A";"94.59";"A";"94.59";"A";"94.59";"A";"94.6";"A";"94.59";"A";"94.59";"A";"94.58";"A";"94.58";"A";"94.58";"A";"94.6";"A"
"1995-07";"91.27";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.26";"A";"91.26";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.27";"A";"91.26";"A";"91.17";"A";"91.17";"A";"91.17";"A";"91.16";"A";"91.16";"A";"91.17";"A";"91.16";"A";"91.16";"A";"91.16";"A";"91.15";"A";"91.15";"A";"91.17";"A"
"1995-08";"93.43";"A";"93.43";"A";"93.44";"A";"93.43";"A";"93.43";"A";"93.43";"A";"93.43";"A";"93.42";"A";"93.42";"A";"93.43";"A";"93.43";"A";"93.43";"A";"93.43";"A";"93.43";"A";"93.34";"A";"93.34";"A";"93.34";"A";"93.34";"A";"93.34";"A";"93.35";"A";"93.34";"A";"93.34";"A";"93.33";"A";"93.33";"A";"93.33";"A";"93.34";"A"
"1995-09";"93.83";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.83";"A";"93.83";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.84";"A";"93.83";"A";"93.74";"A";"93.74";"A";"93.74";"A";"93.73";"A";"93.73";"A";"93.74";"A";"93.73";"A";"93.73";"A";"93.73";"A";"93.72";"A";"93.72";"A";"93.74";"A"
"1995-10";"94.13";"A";"94.13";"A";"94.14";"A";"94.14";"A";"94.14";"A";"94.14";"A";"94.14";"A";"94.13";"A";"94.13";"A";"94.13";"A";"94.13";"A";"94.13";"A";"94.13";"A";"94.13";"A";"94.04";"A";"94.03";"A";"94.04";"A";"94.03";"A";"94.03";"A";"94.04";"A";"94.03";"A";"94.03";"A";"94.02";"A";"94.02";"A";"94.02";"A";"94.04";"A"
"1995-11";"93.17";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.17";"A";"93.17";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.18";"A";"93.17";"A";"93.07";"A";"93.07";"A";"93.07";"A";"93.07";"A";"93.07";"A";"93.08";"A";"93.06";"A";"93.07";"A";"93.06";"A";"93.05";"A";"93.06";"A";"93.07";"A"
"1995-12";"92.76";"A";"92.76";"A";"92.77";"A";"92.77";"A";"92.77";"A";"92.77";"A";"92.77";"A";"92.76";"A";"92.76";"A";"92.76";"A";"92.76";"A";"92.77";"A";"92.76";"A";"92.76";"A";"92.67";"A";"92.67";"A";"92.67";"A";"92.67";"A";"92.67";"A";"92.67";"A";"92.66";"A";"92.67";"A";"92.66";"A";"92.65";"A";"92.66";"A";"92.67";"A"
"1996-01";"93.78";"A";"93.79";"A";"93.79";"A";"93.79";"A";"93.79";"A";"93.79";"A";"93.79";"A";"93.78";"A";"93.78";"A";"93.79";"A";"93.79";"A";"93.79";"A";"93.78";"A";"93.78";"A";"93.69";"A";"93.68";"A";"93.68";"A";"93.68";"A";"93.68";"A";"93.69";"A";"93.68";"A";"93.68";"A";"93.67";"A";"93.67";"A";"93.67";"A";"93.69";"A"
"1996-02";"94.92";"A";"94.92";"A";"94.93";"A";"94.93";"A";"94.93";"A";"94.93";"A";"94.93";"A";"94.92";"A";"94.92";"A";"94.93";"A";"94.92";"A";"94.93";"A";"94.92";"A";"94.92";"A";"94.82";"A";"94.82";"A";"94.82";"A";"94.82";"A";"94.81";"A";"94.82";"A";"94.81";"A";"94.81";"A";"94.81";"A";"94.8";"A";"94.8";"A";"94.82";"A"
"1996-03";"93.62";"A";"93.62";"A";"93.63";"A";"93.63";"A";"93.63";"A";"93.63";"A";"93.63";"A";"93.62";"A";"93.62";"A";"93.62";"A";"93.62";"A";"93.63";"A";"93.62";"A";"93.62";"A";"93.53";"A";"93.53";"A";"93.53";"A";"93.53";"A";"93.53";"A";"93.53";"A";"93.52";"A";"93.52";"A";"93.52";"A";"93.51";"A";"93.51";"A";"93.53";"A"
"1996-04";"93.76";"A";"93.76";"A";"93.77";"A";"93.77";"A";"93.77";"A";"93.77";"A";"93.77";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.67";"A";"93.66";"A";"93.67";"A";"93.66";"A";"93.66";"A";"93.67";"A";"93.66";"A";"93.66";"A";"93.66";"A";"93.65";"A";"93.65";"A";"93.67";"A"
"1996-05";"97.08";"A";"97.08";"A";"97.09";"A";"97.08";"A";"97.09";"A";"97.09";"A";"97.08";"A";"97.08";"A";"97.07";"A";"97.08";"A";"97.08";"A";"97.08";"A";"97.08";"A";"97.08";"A";"96.98";"A";"96.98";"A";"96.98";"A";"96.98";"A";"96.98";"A";"96.99";"A";"96.97";"A";"96.98";"A";"96.97";"A";"96.97";"A";"96.97";"A";"96.98";"A"
"1996-06";"93.75";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.75";"A";"93.75";"A";"93.76";"A";"93.76";"A";"93.76";"A";"93.75";"A";"93.75";"A";"93.66";"A";"93.65";"A";"93.65";"A";"93.65";"A";"93.65";"A";"93.66";"A";"93.65";"A";"93.65";"A";"93.64";"A";"93.64";"A";"93.64";"A";"93.66";"A"
"1996-07";"95.42";"A";"95.42";"A";"95.43";"A";"95.42";"A";"95.42";"A";"95.42";"A";"95.42";"A";"95.41";"A";"95.41";"A";"95.42";"A";"95.42";"A";"95.42";"A";"95.42";"A";"95.41";"A";"95.31";"A";"95.31";"A";"95.31";"A";"95.31";"A";"95.31";"A";"95.32";"A";"95.3";"A";"95.31";"A";"95.3";"A";"95.3";"A";"95.3";"A";"95.31";"A"
"1996-08";"95.47";"A";"95.47";"A";"95.48";"A";"95.48";"A";"95.48";"A";"95.48";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.47";"A";"95.38";"A";"95.37";"A";"95.38";"A";"95.37";"A";"95.37";"A";"95.38";"A";"95.37";"A";"95.37";"A";"95.36";"A";"95.36";"A";"95.36";"A";"95.38";"A"
"1996-09";"95.49";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.48";"A";"95.48";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.49";"A";"95.48";"A";"95.4";"A";"95.39";"A";"95.39";"A";"95.39";"A";"95.39";"A";"95.4";"A";"95.39";"A";"95.39";"A";"95.38";"A";"95.38";"A";"95.38";"A";"95.39";"A"
"1996-10";"95.64";"A";"95.64";"A";"95.65";"A";"95.65";"A";"95.65";"A";"95.65";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.64";"A";"95.55";"A";"95.54";"A";"95.54";"A";"95.54";"A";"95.54";"A";"95.55";"A";"95.54";"A";"95.54";"A";"95.53";"A";"95.53";"A";"95.53";"A";"95.54";"A"
"1996-11";"94.38";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.38";"A";"94.38";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.39";"A";"94.38";"A";"94.28";"A";"94.28";"A";"94.28";"A";"94.28";"A";"94.28";"A";"94.29";"A";"94.28";"A";"94.28";"A";"94.27";"A";"94.27";"A";"94.27";"A";"94.28";"A"
"1996-12";"96.92";"A";"96.92";"A";"96.93";"A";"96.92";"A";"96.92";"A";"96.92";"A";"96.92";"A";"96.91";"A";"96.91";"A";"96.92";"A";"96.92";"A";"96.92";"A";"96.92";"A";"96.92";"A";"96.82";"A";"96.81";"A";"96.82";"A";"96.81";"A";"96.81";"A";"96.82";"A";"96.81";"A";"96.81";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.82";"A"
"1997-01";"95.12";"A";"95.12";"A";"95.13";"A";"95.13";"A";"95.13";"A";"95.13";"A";"95.12";"A";"95.12";"A";"95.11";"A";"95.12";"A";"95.12";"A";"95.12";"A";"95.12";"A";"95.12";"A";"95.02";"A";"95.02";"A";"95.02";"A";"95.02";"A";"95.02";"A";"95.02";"A";"95.01";"A";"95.02";"A";"95.01";"A";"95.0";"A";"95.0";"A";"95.02";"A"
"1997-02";"95.67";"A";"95.68";"A";"95.68";"A";"95.68";"A";"95.68";"A";"95.68";"A";"95.68";"A";"95.67";"A";"95.67";"A";"95.67";"A";"95.67";"A";"95.68";"A";"95.67";"A";"95.67";"A";"95.57";"A";"95.57";"A";"95.57";"A";"95.57";"A";"95.57";"A";"95.57";"A";"95.56";"A";"95.57";"A";"95.56";"A";"95.55";"A";"95.55";"A";"95.57";"A"
"1997-03";"95.25";"A";"95.25";"A";"95.26";"A";"95.25";"A";"95.25";"A";"95.25";"A";"95.25";"A";"95.24";"A";"95.24";"A";"95.25";"A";"95.25";"A";"95.25";"A";"95.25";"A";"95.24";"A";"95.14";"A";"95.13";"A";"95.14";"A";"95.13";"A";"95.13";"A";"95.14";"A";"95.13";"A";"95.13";"A";"95.13";"A";"95.12";"A";"95.12";"A";"95.14";"A"
"1997-04";"98.6";"A";"98.6";"A";"98.61";"A";"98.6";"A";"98.6";"A";"98.6";"A";"98.6";"A";"98.59";"A";"98.59";"A";"98.6";"A";"98.6";"A";"98.6";"A";"98.6";"A";"98.6";"A";"98.48";"A";"98.48";"A";"98.48";"A";"98.48";"A";"98.48";"A";"98.49";"A";"98.48";"A";"98.48";"A";"98.47";"A";"98.47";"A";"98.47";"A";"98.48";"A"
"1997-05";"97.31";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.31";"A";"97.31";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.32";"A";"97.31";"A";"97.21";"A";"97.2";"A";"97.2";"A";"97.2";"A";"97.2";"A";"97.21";"A";"97.2";"A";"97.2";"A";"97.19";"A";"97.19";"A";"97.19";"A";"97.21";"A"
"1997-06";"96.8";"A";"96.8";"A";"96.81";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.79";"A";"96.79";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.8";"A";"96.69";"A";"96.68";"A";"96.69";"A";"96.68";"A";"96.68";"A";"96.69";"A";"96.68";"A";"96.68";"A";"96.67";"A";"96.67";"A";"96.67";"A";"96.69";"A"
"1997-07";"94.88";"A";"94.89";"A";"94.89";"A";"94.89";"A";"94.89";"A";"94.89";"A";"94.89";"A";"94.88";"A";"94.88";"A";"94.88";"A";"94.88";"A";"94.88";"A";"94.88";"A";"94.88";"A";"94.78";"A";"94.78";"A";"94.78";"A";"94.78";"A";"94.78";"A";"94.78";"A";"94.77";"A";"94.78";"A";"94.77";"A";"94.76";"A";"94.76";"A";"94.78";"A"
"1997-08";"97.62";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.62";"A";"97.62";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.63";"A";"97.62";"A";"97.52";"A";"97.52";"A";"97.52";"A";"97.52";"A";"97.52";"A";"97.52";"A";"97.51";"A";"97.52";"A";"97.51";"A";"97.5";"A";"97.51";"A";"97.52";"A"
"1997-09";"98.61";"A";"98.61";"A";"98.62";"A";"98.61";"A";"98.61";"A";"98.61";"A";"98.61";"A";"98.6";"A";"98.6";"A";"98.61";"A";"98.61";"A";"98.61";"A";"98.61";"A";"98.61";"A";"98.51";"A";"98.51";"A";"98.51";"A";"98.51";"A";"98.51";"A";"98.51";"A";"98.5";"A";"98.51";"A";"98.5";"A";"98.49";"A";"98.49";"A";"98.51";"A"
"1997-10";"100.05";"A";"100.05";"A";"100.06";"A";"100.06";"A";"100.06";"A";"100.06";"A";"100.06";"A";"100.05";"A";"100.05";"A";"100.06";"A";"100.06";"A";"100.06";"A";"100.06";"A";"100.05";"A";"99.95";"A";"99.95";"A";"99.95";"A";"99.95";"A";"99.95";"A";"99.95";"A";"99.94";"A";"99.94";"A";"99.94";"A";"99.93";"A";"99.93";"A";"99.95";"A"
"1997-11";"99.12";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.12";"A";"99.12";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.13";"A";"99.12";"A";"99.02";"A";"99.02";"A";"99.02";"A";"99.02";"A";"99.02";"A";"99.02";"A";"99.01";"A";"99.02";"A";"99.01";"A";"99.0";"A";"99.0";"A";"99.02";"A"
"1997-12";"101.61";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.61";"A";"101.61";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.62";"A";"101.61";"A";"101.51";"A";"101.51";"A";"101.51";"A";"101.51";"A";"101.51";"A";"101.52";"A";"101.5";"A";"101.51";"A";"101.5";"A";"101.49";"A";"101.5";"A";"101.51";"A"
